instance_index,no_aug_tour_cost,augmented_tour_cost,runtime_seconds
0,1.9618759155273438,1.9205291271209717,4.449633599986555
1,2.296414852142334,2.1706910133361816,0.24381087999790907
2,2.236530065536499,2.170408010482788,0.23792539999703877
3,2.0015978813171387,1.956225037574768,0.2289826250053011
4,1.9874950647354126,1.8729541301727295,0.22892871699878015
5,1.8795949220657349,1.7889389991760254,0.22851038700900972
6,2.0381178855895996,1.930042028427124,0.22861080599250272
7,2.1218130588531494,2.0940299034118652,0.2285356160136871
8,2.0159809589385986,1.944046974182129,0.2286065289808903
9,1.871872067451477,1.851233959197998,0.22886551398551092
10,1.9603880643844604,1.9025989770889282,0.22853672000928782
11,2.1517958641052246,2.0590920448303223,0.2289126769755967
12,2.0034420490264893,1.9604909420013428,0.22883058301522397
13,2.054543972015381,1.940964937210083,0.2289884059864562
14,1.8512848615646362,1.828565001487732,0.22908510803245008
15,1.9673049449920654,1.8260860443115234,0.22910676102037542
16,2.038456916809082,1.9434950351715088,0.22919771302258596
17,1.9405529499053955,1.8829249143600464,0.2291037859977223
18,2.175300121307373,2.1081159114837646,0.2291052879882045
19,2.038949966430664,1.9885320663452148,0.22963262599660084
20,1.808593988418579,1.7509430646896362,0.22993296294589527
21,2.1387510299682617,2.0167429447174072,0.22981426701880991
22,2.14605712890625,2.0687968730926514,0.22981122197234072
23,2.0657050609588623,1.951917052268982,0.22995430600713007
24,2.1346092224121094,2.009124994277954,0.22965887800091878
25,2.013895034790039,1.9327208995819092,0.22957072299323045
26,2.1030120849609375,1.968065857887268,0.22960153498570435
27,1.9987080097198486,1.9707989692687988,0.22967133298516273
28,2.1702749729156494,2.0520761013031006,0.22956962100579403
29,2.0355167388916016,1.9889729022979736,0.2298919519816991
30,2.0826470851898193,1.964717984199524,0.22953577598673292
31,2.02207088470459,1.95986008644104,0.22989804300596006
32,2.155078887939453,2.1144728660583496,0.2296702820167411
33,1.9194459915161133,1.8421040773391724,0.22935280000092462
34,2.174199104309082,2.071585178375244,0.22970742400502786
35,1.8535490036010742,1.8535490036010742,0.22989695199066773
36,2.201564073562622,2.143842935562134,0.2297615009592846
37,2.021430015563965,1.9204139709472656,0.22997005697106943
38,2.0758581161499023,2.0171010494232178,0.2298259090166539
39,2.0398740768432617,1.9558069705963135,0.22988541799713857
40,2.0520238876342773,1.9983229637145996,0.22971023098216392
41,1.993162989616394,1.9384469985961914,0.22989210198284127
42,2.1848669052124023,2.1259500980377197,0.23038432901375927
43,1.7947840690612793,1.7078709602355957,0.2295992400322575
44,2.019735097885132,1.9835890531539917,0.22977007902227342
45,2.027822971343994,2.011624813079834,0.22965788605506532
46,1.9593359231948853,1.889022946357727,0.22978772298665717
47,1.950646996498108,1.939871072769165,0.22982906695688143
48,1.9688420295715332,1.9357059001922607,0.2296308220247738
49,2.0884430408477783,2.0218029022216797,0.22989315300947055
50,1.9237339496612549,1.8755019903182983,0.2296938979998231
51,1.955657958984375,1.8831398487091064,0.22997104900423437
52,2.1735620498657227,2.0831410884857178,0.22956465298193507
53,2.244047164916992,2.0761709213256836,0.22975446700002067
54,1.8566150665283203,1.7624340057373047,0.22961966998991556
55,1.8912639617919922,1.8798539638519287,0.22982798403245397
56,2.152125835418701,2.0325679779052734,0.22973799498868175
57,1.842621922492981,1.827354073524475,0.23001780099002644
58,1.9871220588684082,1.9636480808258057,0.2301162359653972
59,2.173004150390625,2.123210906982422,0.230295573011972
60,2.1423070430755615,2.0272209644317627,0.23019184698932804
61,1.9321520328521729,1.8621039390563965,0.23030950099928305
62,1.967424988746643,1.9484219551086426,0.22999265103135258
63,2.0205111503601074,1.988669991493225,0.23014005398727022
