dataset,instance_index,source_file,dimension,status,tour_cost,scaled_tour_cost,runtime_seconds,seed,error
rrnco,35,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_035.npz,250,ok,61.91109995468287,61911100,0.6147049179999158,1269,
rrnco,36,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_036.npz,250,ok,62.43210012733471,62432100,0.8578031500073848,1270,
rrnco,37,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_037.npz,250,ok,66.24590002570767,66245900,1.3370994959987001,1271,
rrnco,38,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_038.npz,250,ok,49.49349994113436,49493500,0.9230384140100796,1272,
rrnco,39,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_039.npz,250,ok,62.491700013546506,62491700,0.8224156770011177,1273,
rrnco,40,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_040.npz,250,ok,51.417799926537555,51417800,1.1642514639970614,1274,
rrnco,41,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_041.npz,250,ok,58.52039992994105,58520400,0.8445635859970935,1275,
rrnco,42,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_042.npz,250,ok,55.74569982918911,55745700,1.2105225949926535,1276,
rrnco,43,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_043.npz,250,ok,49.95610002335161,49956100,1.0369312959956005,1277,
rrnco,44,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_044.npz,250,ok,64.25660005561076,64256600,1.0332518630020786,1278,
rrnco,45,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_045.npz,250,ok,61.143999975931365,61144000,0.8409367639978882,1279,
rrnco,46,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_046.npz,250,ok,72.75330013362691,72753300,0.704558759010979,1280,
rrnco,47,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_047.npz,250,ok,67.78669978270773,67786700,1.032812848003232,1281,
rrnco,48,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_048.npz,250,ok,68.85670009977184,68856700,0.8797902980004437,1282,
rrnco,49,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_049.npz,250,ok,55.68989995168522,55689900,0.8004852419981034,1283,
rrnco,50,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_050.npz,250,ok,77.83690005075186,77836900,0.6100615439936519,1284,
rrnco,51,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_051.npz,250,ok,52.718999888165854,52719000,1.098901258999831,1285,
rrnco,52,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_052.npz,250,ok,57.75279998080805,57752800,1.127866588998586,1286,
rrnco,53,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_053.npz,250,ok,40.173300057591405,40173300,1.357377363005071,1287,
rrnco,54,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_054.npz,250,ok,52.90040003074682,52900400,1.0938128010020591,1288,
rrnco,55,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_055.npz,250,ok,50.73680005731876,50736800,0.9318431559950113,1289,
rrnco,56,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_056.npz,250,ok,69.00969982985407,69009700,0.5923651670018444,1290,
rrnco,57,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_057.npz,250,ok,60.262700133025646,60262700,0.7674348639993696,1291,
rrnco,58,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_058.npz,250,ok,64.59979988180567,64599800,1.0318520559958415,1292,
rrnco,59,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_059.npz,250,ok,55.15699988580309,55157000,0.9336523079982726,1293,
rrnco,60,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_060.npz,250,ok,69.17730000743177,69177300,0.6910182900028303,1294,
rrnco,61,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_061.npz,250,ok,56.15760012820829,56157600,1.0170562129933387,1295,
rrnco,62,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_062.npz,250,ok,62.64090000279248,62640900,0.8632110640028259,1296,
rrnco,63,/workspace/project/data/ATSP_data/RRNCO_atsp250_64instances/atsp_n250_64_data/instance_063.npz,250,ok,42.971100023714826,42971100,1.0707997620047536,1297,
