instance_index,no_aug_tour_cost,augmented_tour_cost,runtime_seconds
0,2.0522751808166504,2.0129952430725098,4.445308494003257
1,2.0353400707244873,1.9616448879241943,0.24208572701900266
2,2.1291868686676025,2.1291868686676025,0.23022486199624836
3,2.044273853302002,1.9791040420532227,0.23042113502742723
4,2.068675994873047,1.944424033164978,0.22999677099869587
5,1.875486969947815,1.8011090755462646,0.23004443501122296
6,2.1296579837799072,2.0728678703308105,0.23014127698843367
7,1.9895689487457275,1.944694995880127,0.23005344200646505
8,2.0451197624206543,1.972654104232788,0.2309876890212763
9,1.9424248933792114,1.9424248933792114,0.2312486480223015
10,2.091181993484497,1.996938943862915,0.23059178300900385
11,2.035111904144287,1.931367039680481,0.23143356401124038
12,2.179603099822998,2.0920939445495605,0.23038623400498182
13,2.1217780113220215,2.048703193664551,0.23076539798057638
14,2.159825086593628,2.0125460624694824,0.23035515297669917
15,2.0841479301452637,2.0010719299316406,0.23057323601096869
16,2.0781431198120117,2.0187249183654785,0.2307555080333259
17,2.005383014678955,1.8998069763183594,0.23038617399288341
18,1.9543941020965576,1.9040969610214233,0.2307017410057597
19,2.13499116897583,2.0246999263763428,0.23115224597859196
20,2.0232300758361816,2.0232300758361816,0.23110903895576485
21,2.00563907623291,1.9141929149627686,0.23117448002449237
22,1.9942309856414795,1.8715490102767944,0.2315496270020958
23,2.0329108238220215,1.9320309162139893,0.23169364302884787
24,2.074885845184326,1.92146897315979,0.23146641100174747
25,2.039368152618408,2.0234270095825195,0.2315684439963661
26,1.7191311120986938,1.7029640674591064,0.23155810302705504
27,1.9184828996658325,1.8744579553604126,0.23157642895239405
28,1.94269597530365,1.8978228569030762,0.23134160196059383
29,2.074733018875122,2.0361549854278564,0.23175482300575823
30,2.0747950077056885,1.9941049814224243,0.2312569249770604
31,1.9704599380493164,1.8814589977264404,0.2318978560215328
32,1.9009690284729004,1.8185279369354248,0.2317581800161861
33,1.9772939682006836,1.9114110469818115,0.23146817300585099
34,2.1594700813293457,2.0931568145751953,0.23158656799932942
35,2.07545804977417,1.9726148843765259,0.2319742399849929
36,1.8976421356201172,1.8584470748901367,0.23153187095886096
37,2.2573630809783936,2.185418128967285,0.23159777198452502
38,2.1910018920898438,2.0595340728759766,0.23132008998072706
39,1.935835838317871,1.8969660997390747,0.23184343898901716
40,2.0357749462127686,1.993933916091919,0.23152838397072628
41,1.8807399272918701,1.8107609748840332,0.2315643739711959
42,1.8509330749511719,1.8132879734039307,0.2317803940095473
43,1.8384959697723389,1.8289220333099365,0.23118875903310254
44,1.9640949964523315,1.8474020957946777,0.23166516501805745
45,2.1045520305633545,2.0105979442596436,0.231412844004808
46,1.9302430152893066,1.8566139936447144,0.2314729340141639
47,1.9096421003341675,1.8410050868988037,0.23148433500318788
48,2.0174312591552734,1.9909329414367676,0.2314641760312952
49,2.17254900932312,2.0800909996032715,0.23169231999781914
50,2.161512851715088,2.012583017349243,0.23136327505926602
51,1.9496560096740723,1.8397960662841797,0.23120537196518853
52,1.8946739435195923,1.8267219066619873,0.23079698099172674
53,2.0660290718078613,1.9707551002502441,0.23121575400000438
54,1.8172460794448853,1.717218041419983,0.23272894797264598
55,2.1230170726776123,1.9986549615859985,0.2309344639943447
56,2.089087963104248,1.9713630676269531,0.23115212700213306
57,1.9163089990615845,1.8609750270843506,0.23107862001052126
58,2.019920825958252,1.9884589910507202,0.2312810119765345
59,1.9941679239273071,1.9279351234436035,0.23098646602011286
60,2.153891086578369,2.0597739219665527,0.23097796994261444
61,2.039551019668579,1.9023010730743408,0.23104080601478927
62,2.074363946914673,2.0612339973449707,0.23129009097465314
63,2.19602108001709,2.1542439460754395,0.2312488379830029
